locus_tag	ftype	length_bp	gene	EC_number	COG	product
AFKFBACJ_00757	CDS	876	sadH_2	1.-.-.-		Putative oxidoreductase SadH
AFKFBACJ_00758	gene	486				
AFKFBACJ_00758	CDS	486		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
AFKFBACJ_00759	gene	444				
AFKFBACJ_00759	CDS	444				hypothetical protein
AFKFBACJ_00760	gene	1473				
AFKFBACJ_00760	CDS	1473				hypothetical protein
AFKFBACJ_00761	gene	195				
AFKFBACJ_00761	CDS	195				hypothetical protein
AFKFBACJ_00762	gene	2499	btuB_7			
AFKFBACJ_00762	CDS	2499	btuB_7			Vitamin B12 transporter BtuB
AFKFBACJ_00763	gene	2952	btuB_8			
AFKFBACJ_00763	CDS	2952	btuB_8			Vitamin B12 transporter BtuB
AFKFBACJ_00764	gene	1365				
AFKFBACJ_00764	CDS	1365		1.14.-.-	COG2124	Putative cytochrome P450 139
AFKFBACJ_00765	gene	1404				
AFKFBACJ_00765	CDS	1404				hypothetical protein
AFKFBACJ_00766	gene	525				
AFKFBACJ_00766	CDS	525				hypothetical protein
AFKFBACJ_00767	gene	255				
AFKFBACJ_00767	CDS	255				hypothetical protein
AFKFBACJ_00768	gene	333				
AFKFBACJ_00768	CDS	333				DNA base-flipping protein
AFKFBACJ_00769	gene	777	cbbY			
AFKFBACJ_00769	CDS	777	cbbY	3.1.3.-	COG0637	Protein CbbY
AFKFBACJ_00770	gene	1065	cbbA			
AFKFBACJ_00770	CDS	1065	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
AFKFBACJ_00771	gene	741	gph_1			
AFKFBACJ_00771	CDS	741	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
AFKFBACJ_00772	gene	1266	tktA_1			
AFKFBACJ_00772	CDS	1266	tktA_1	2.2.1.1	COG0021	Transketolase 1
AFKFBACJ_00773	gene	714	tktA_2			
AFKFBACJ_00773	CDS	714	tktA_2	2.2.1.1	COG0021	Transketolase 1
AFKFBACJ_00774	gene	414	cfxP			
AFKFBACJ_00774	CDS	414	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
AFKFBACJ_00775	gene	1470	rpsA			
AFKFBACJ_00775	CDS	1470	rpsA		COG0539	30S ribosomal protein S1
AFKFBACJ_00776	gene	342	ihfB_1			
AFKFBACJ_00776	CDS	342	ihfB_1		COG0776	Integration host factor subunit beta
AFKFBACJ_00777	gene	294	lapA			
AFKFBACJ_00777	CDS	294	lapA			Lipopolysaccharide assembly protein A
AFKFBACJ_00778	gene	1146	lapB_1			
AFKFBACJ_00778	CDS	1146	lapB_1		COG2956	Lipopolysaccharide assembly protein B
AFKFBACJ_00779	gene	1479	bepA_1			
AFKFBACJ_00779	CDS	1479	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
AFKFBACJ_00780	gene	1629	pheT			
AFKFBACJ_00780	CDS	1629	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
AFKFBACJ_00781	gene	297	ihfA_1			
AFKFBACJ_00781	CDS	297	ihfA_1		COG0776	Integration host factor subunit alpha
AFKFBACJ_00782	gene	417				
AFKFBACJ_00782	CDS	417				hypothetical protein
AFKFBACJ_00783	gene	789				
AFKFBACJ_00783	CDS	789				hypothetical protein
AFKFBACJ_00784	gene	321				
AFKFBACJ_00784	CDS	321				hypothetical protein
AFKFBACJ_00785	gene	77				
AFKFBACJ_00785	tRNA	77				tRNA-Pro(ggg)
AFKFBACJ_00786	gene	660				
AFKFBACJ_00786	CDS	660				hypothetical protein
AFKFBACJ_00787	gene	252				
AFKFBACJ_00787	CDS	252				hypothetical protein
AFKFBACJ_00788	gene	1377				
AFKFBACJ_00788	CDS	1377				hypothetical protein
AFKFBACJ_00789	gene	879				
AFKFBACJ_00789	CDS	879				hypothetical protein
AFKFBACJ_00790	gene	681				
AFKFBACJ_00790	CDS	681				hypothetical protein
AFKFBACJ_00791	gene	1032				
AFKFBACJ_00791	CDS	1032				hypothetical protein
AFKFBACJ_00792	gene	423				
AFKFBACJ_00792	CDS	423				hypothetical protein
AFKFBACJ_00793	gene	801				
AFKFBACJ_00793	CDS	801				hypothetical protein
AFKFBACJ_00794	gene	633	betI_1			
AFKFBACJ_00794	CDS	633	betI_1			HTH-type transcriptional regulator BetI
AFKFBACJ_00795	gene	1215				
AFKFBACJ_00795	CDS	1215				hypothetical protein
AFKFBACJ_00796	gene	597				
AFKFBACJ_00796	CDS	597				hypothetical protein
AFKFBACJ_00797	gene	786	sadH_3			
AFKFBACJ_00797	CDS	786	sadH_3	1.-.-.-		Putative oxidoreductase SadH
AFKFBACJ_00798	gene	261				
AFKFBACJ_00798	CDS	261				hypothetical protein
AFKFBACJ_00799	gene	99				
AFKFBACJ_00799	CDS	99				hypothetical protein
AFKFBACJ_00800	gene	2631				
AFKFBACJ_00800	CDS	2631				hypothetical protein
AFKFBACJ_00801	gene	1035				
AFKFBACJ_00801	CDS	1035				hypothetical protein
AFKFBACJ_00802	gene	804				
AFKFBACJ_00802	CDS	804				hypothetical protein
AFKFBACJ_00803	gene	240	hutI_1			
AFKFBACJ_00803	CDS	240	hutI_1	3.5.2.7	COG1228	Imidazolonepropionase
AFKFBACJ_00804	gene	483				
AFKFBACJ_00804	CDS	483				hypothetical protein
AFKFBACJ_00805	gene	150				
AFKFBACJ_00805	CDS	150				hypothetical protein
AFKFBACJ_00806	gene	981				
AFKFBACJ_00806	CDS	981				hypothetical protein
AFKFBACJ_00807	gene	1185	macB			
AFKFBACJ_00807	CDS	1185	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
AFKFBACJ_00808	gene	1143				
AFKFBACJ_00808	CDS	1143				hypothetical protein
AFKFBACJ_00809	gene	237	ytrE			
AFKFBACJ_00809	CDS	237	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
AFKFBACJ_00810	gene	213				
AFKFBACJ_00810	CDS	213				hypothetical protein
AFKFBACJ_00811	gene	1464	zwf_1			
AFKFBACJ_00811	CDS	1464	zwf_1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
AFKFBACJ_00812	gene	972	glk_1			
AFKFBACJ_00812	CDS	972	glk_1	2.7.1.2	COG0837	Glucokinase
AFKFBACJ_00813	gene	1053				
AFKFBACJ_00813	CDS	1053				hypothetical protein
AFKFBACJ_00814	gene	381				
AFKFBACJ_00814	CDS	381				hypothetical protein
AFKFBACJ_00815	gene	1815				
AFKFBACJ_00815	CDS	1815				hypothetical protein
AFKFBACJ_00816	gene	102				
AFKFBACJ_00816	CDS	102				hypothetical protein
AFKFBACJ_00817	gene	696				
AFKFBACJ_00817	CDS	696				hypothetical protein
AFKFBACJ_00818	gene	1413				
AFKFBACJ_00818	CDS	1413				hypothetical protein
AFKFBACJ_00819	gene	429				
AFKFBACJ_00819	CDS	429				hypothetical protein
AFKFBACJ_00820	gene	681				
AFKFBACJ_00820	CDS	681		1.11.1.-	COG0753	Catalase-related peroxidase
AFKFBACJ_00821	gene	1326				
AFKFBACJ_00821	CDS	1326				hypothetical protein
AFKFBACJ_00822	gene	789	ulaR			
AFKFBACJ_00822	CDS	789	ulaR		COG1349	HTH-type transcriptional regulator UlaR
AFKFBACJ_00823	gene	1299				
AFKFBACJ_00823	CDS	1299				hypothetical protein
AFKFBACJ_00824	gene	912	bacC_2			
AFKFBACJ_00824	CDS	912	bacC_2	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
AFKFBACJ_00825	gene	1437	betA_2			
AFKFBACJ_00825	CDS	1437	betA_2	1.2.1.8		Oxygen-dependent choline dehydrogenase
AFKFBACJ_00826	gene	939	degV			
AFKFBACJ_00826	CDS	939	degV		COG1307	Protein DegV
AFKFBACJ_00827	gene	381	mazG			
AFKFBACJ_00827	CDS	381	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
AFKFBACJ_00828	gene	651	nudL			
AFKFBACJ_00828	CDS	651	nudL	3.6.1.-		putative Nudix hydrolase NudL
AFKFBACJ_00829	gene	1224	metZ			
AFKFBACJ_00829	CDS	1224	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
AFKFBACJ_00830	gene	351				
AFKFBACJ_00830	CDS	351				hypothetical protein
AFKFBACJ_00831	gene	213				
AFKFBACJ_00831	CDS	213				hypothetical protein
AFKFBACJ_00832	gene	168				
AFKFBACJ_00832	CDS	168				hypothetical protein
AFKFBACJ_00833	gene	315				
AFKFBACJ_00833	CDS	315				hypothetical protein
AFKFBACJ_00834	gene	912	epsC			
AFKFBACJ_00834	CDS	912	epsC		COG3031	Type II secretion system protein C
AFKFBACJ_00835	gene	1239				
AFKFBACJ_00835	CDS	1239				hypothetical protein
AFKFBACJ_00836	gene	486				
AFKFBACJ_00836	CDS	486				hypothetical protein
AFKFBACJ_00837	gene	780				
AFKFBACJ_00837	CDS	780				hypothetical protein
AFKFBACJ_00838	gene	2193				
AFKFBACJ_00838	CDS	2193				hypothetical protein
AFKFBACJ_00839	gene	519				
AFKFBACJ_00839	CDS	519				hypothetical protein
AFKFBACJ_00840	gene	1272				
AFKFBACJ_00840	CDS	1272				hypothetical protein
AFKFBACJ_00841	gene	225	sufS_1			
AFKFBACJ_00841	CDS	225	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
AFKFBACJ_00842	gene	549	sat/cysC_1			
AFKFBACJ_00842	CDS	549	sat/cysC_1		COG0529	putative bifunctional SAT/APS kinase
AFKFBACJ_00843	gene	735				
AFKFBACJ_00843	CDS	735				hypothetical protein
AFKFBACJ_00844	gene	474				
AFKFBACJ_00844	CDS	474				hypothetical protein
AFKFBACJ_00845	gene	1164	rox			
AFKFBACJ_00845	CDS	1164	rox			Rifampicin monooxygenase
AFKFBACJ_00846	gene	771	dauE			
AFKFBACJ_00846	CDS	771	dauE	1.1.1.362		Aklaviketone reductase DauE
AFKFBACJ_00847	gene	1842	mhpD			
AFKFBACJ_00847	CDS	1842	mhpD	4.2.1.80		2-keto-4-pentenoate hydratase
AFKFBACJ_00848	gene	909	bphJ			
AFKFBACJ_00848	CDS	909	bphJ	1.2.1.10	COG4569	Acetaldehyde dehydrogenase 4
AFKFBACJ_00849	gene	144				
AFKFBACJ_00849	CDS	144				hypothetical protein
AFKFBACJ_00850	gene	1080				
AFKFBACJ_00850	CDS	1080				hypothetical protein
AFKFBACJ_00851	gene	462				
AFKFBACJ_00851	CDS	462				hypothetical protein
AFKFBACJ_00852	gene	1032	yajO			
AFKFBACJ_00852	CDS	1032	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
AFKFBACJ_00853	gene	1374				
AFKFBACJ_00853	CDS	1374				hypothetical protein
AFKFBACJ_00854	gene	1377				
AFKFBACJ_00854	CDS	1377				putative protein
AFKFBACJ_00855	gene	831	ptlF			
AFKFBACJ_00855	CDS	831	ptlF	1.1.1.340		1-deoxy-11-beta-hydroxypentalenate dehydrogenase
AFKFBACJ_00856	gene	1143	luxA			
AFKFBACJ_00856	CDS	1143	luxA	1.14.14.3		Alkanal monooxygenase alpha chain
AFKFBACJ_00857	gene	756				
AFKFBACJ_00857	CDS	756				hypothetical protein
AFKFBACJ_00858	gene	309				
AFKFBACJ_00858	CDS	309				hypothetical protein
AFKFBACJ_00859	gene	777				
AFKFBACJ_00859	CDS	777				hypothetical protein
AFKFBACJ_00860	gene	2463				
AFKFBACJ_00860	CDS	2463				hypothetical protein
AFKFBACJ_00861	gene	216				
AFKFBACJ_00861	CDS	216				hypothetical protein
AFKFBACJ_00862	gene	1248	ubiH			
AFKFBACJ_00862	CDS	1248	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
AFKFBACJ_00863	gene	237				
AFKFBACJ_00863	CDS	237				hypothetical protein
AFKFBACJ_00864	gene	1170	ubiI			
AFKFBACJ_00864	CDS	1170	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
AFKFBACJ_00865	gene	1089				
AFKFBACJ_00865	CDS	1089				hypothetical protein
AFKFBACJ_00866	gene	747				
AFKFBACJ_00866	CDS	747				hypothetical protein
AFKFBACJ_00867	gene	294				
AFKFBACJ_00867	CDS	294				hypothetical protein
AFKFBACJ_00868	gene	177				
AFKFBACJ_00868	CDS	177				hypothetical protein
AFKFBACJ_00869	gene	975				
AFKFBACJ_00869	CDS	975				hypothetical protein
AFKFBACJ_00870	gene	864	valG			
AFKFBACJ_00870	CDS	864	valG	2.4.1.338	COG0463	Validoxylamine A glucosyltransferase
AFKFBACJ_00871	gene	999	rfaC_1			
AFKFBACJ_00871	CDS	999	rfaC_1	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
AFKFBACJ_00872	gene	1005				
AFKFBACJ_00872	CDS	1005				hypothetical protein
AFKFBACJ_00873	gene	480				
AFKFBACJ_00873	CDS	480				hypothetical protein
AFKFBACJ_00874	gene	2976				
AFKFBACJ_00874	CDS	2976				hypothetical protein
AFKFBACJ_00875	gene	894				
AFKFBACJ_00875	CDS	894				hypothetical protein
AFKFBACJ_00876	gene	339				
AFKFBACJ_00876	CDS	339				hypothetical protein
AFKFBACJ_00877	gene	747	mhpC			
AFKFBACJ_00877	CDS	747	mhpC	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
AFKFBACJ_00878	gene	348				
AFKFBACJ_00878	CDS	348				hypothetical protein
AFKFBACJ_00879	gene	135				
AFKFBACJ_00879	CDS	135				hypothetical protein
AFKFBACJ_00880	gene	120				
AFKFBACJ_00880	CDS	120				hypothetical protein
AFKFBACJ_00881	gene	2496				
AFKFBACJ_00881	CDS	2496				hypothetical protein
AFKFBACJ_00882	gene	528	nrdR			
AFKFBACJ_00882	CDS	528	nrdR		COG1327	Transcriptional repressor NrdR
AFKFBACJ_00883	gene	1104	ribD_1			
AFKFBACJ_00883	CDS	1104	ribD_1		COG0117	Riboflavin biosynthesis protein RibD
AFKFBACJ_00884	gene	597	ribE_1			
AFKFBACJ_00884	CDS	597	ribE_1	2.5.1.9		Riboflavin synthase
AFKFBACJ_00885	gene	1170	ribBA_1			
AFKFBACJ_00885	CDS	1170	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
AFKFBACJ_00886	gene	513	ribH_1			
AFKFBACJ_00886	CDS	513	ribH_1	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
AFKFBACJ_00887	gene	447	nusB_1			
AFKFBACJ_00887	CDS	447	nusB_1			Transcription antitermination protein NusB
AFKFBACJ_00888	gene	630				
AFKFBACJ_00888	CDS	630				hypothetical protein
AFKFBACJ_00889	gene	297				
AFKFBACJ_00889	CDS	297				hypothetical protein
AFKFBACJ_00890	gene	531				
AFKFBACJ_00890	CDS	531				hypothetical protein
AFKFBACJ_00891	gene	267				
AFKFBACJ_00891	CDS	267				hypothetical protein
AFKFBACJ_00892	gene	303				
AFKFBACJ_00892	CDS	303				hypothetical protein
AFKFBACJ_00893	gene	768				
AFKFBACJ_00893	CDS	768				hypothetical protein
AFKFBACJ_00894	gene	708				
AFKFBACJ_00894	CDS	708				hypothetical protein
AFKFBACJ_00895	gene	330				
AFKFBACJ_00895	CDS	330				hypothetical protein
AFKFBACJ_00896	gene	243				
AFKFBACJ_00896	CDS	243				hypothetical protein
AFKFBACJ_00897	gene	471				
AFKFBACJ_00897	CDS	471				hypothetical protein
AFKFBACJ_00898	gene	591	pal_4			
AFKFBACJ_00898	CDS	591	pal_4			Peptidoglycan-associated lipoprotein
AFKFBACJ_00899	gene	873				
AFKFBACJ_00899	CDS	873				hypothetical protein
AFKFBACJ_00900	gene	1161				
AFKFBACJ_00900	CDS	1161				hypothetical protein
AFKFBACJ_00901	gene	864				
AFKFBACJ_00901	CDS	864				hypothetical protein
AFKFBACJ_00902	gene	303				
AFKFBACJ_00902	CDS	303				hypothetical protein
AFKFBACJ_00903	gene	636	mlaC			
AFKFBACJ_00903	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
AFKFBACJ_00904	gene	543	mlaD			
AFKFBACJ_00904	CDS	543	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
AFKFBACJ_00905	gene	765	mlaE_1			
AFKFBACJ_00905	CDS	765	mlaE_1		COG0767	Intermembrane phospholipid transport system permease protein MlaE
AFKFBACJ_00906	gene	822	mlaF_1			
AFKFBACJ_00906	CDS	822	mlaF_1	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
AFKFBACJ_00907	gene	654	lipB_1			
AFKFBACJ_00907	CDS	654	lipB_1	2.3.1.181	COG0321	Octanoyltransferase
AFKFBACJ_00908	gene	276				
AFKFBACJ_00908	CDS	276				hypothetical protein
AFKFBACJ_00909	gene	396	dacA_1			
AFKFBACJ_00909	CDS	396	dacA_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
AFKFBACJ_00910	gene	225				
AFKFBACJ_00910	CDS	225				hypothetical protein
AFKFBACJ_00911	gene	1983				
AFKFBACJ_00911	CDS	1983				hypothetical protein
AFKFBACJ_00912	gene	606	yceI_1			
AFKFBACJ_00912	CDS	606	yceI_1		COG2353	Protein YceI
AFKFBACJ_00913	gene	513				
AFKFBACJ_00913	CDS	513				hypothetical protein
AFKFBACJ_00914	gene	696				
AFKFBACJ_00914	CDS	696				hypothetical protein
AFKFBACJ_00915	gene	321				
AFKFBACJ_00915	CDS	321				hypothetical protein
AFKFBACJ_00916	gene	255				
AFKFBACJ_00916	CDS	255				hypothetical protein
AFKFBACJ_00917	gene	102				
AFKFBACJ_00917	CDS	102				hypothetical protein
AFKFBACJ_00918	gene	144				
AFKFBACJ_00918	CDS	144				hypothetical protein
AFKFBACJ_00919	gene	1848				
AFKFBACJ_00919	CDS	1848				hypothetical protein
AFKFBACJ_00920	gene	240				
AFKFBACJ_00920	CDS	240				hypothetical protein
AFKFBACJ_00921	gene	615				
AFKFBACJ_00921	CDS	615				hypothetical protein
AFKFBACJ_00922	gene	444				
AFKFBACJ_00922	CDS	444				hypothetical protein
AFKFBACJ_00923	gene	714				
AFKFBACJ_00923	CDS	714				hypothetical protein
AFKFBACJ_00924	gene	1167				
AFKFBACJ_00924	CDS	1167				hypothetical protein
AFKFBACJ_00925	gene	498				
AFKFBACJ_00925	CDS	498				hypothetical protein
AFKFBACJ_00926	gene	1290	alkH_2			
AFKFBACJ_00926	CDS	1290	alkH_2	1.2.1.3		Aldehyde dehydrogenase
AFKFBACJ_00927	gene	2826	malT_2			
AFKFBACJ_00927	CDS	2826	malT_2		COG2909	HTH-type transcriptional regulator MalT
AFKFBACJ_00928	gene	564	yhhJ			
AFKFBACJ_00928	CDS	564	yhhJ		COG0842	Inner membrane transport permease YhhJ
AFKFBACJ_00929	gene	960				
AFKFBACJ_00929	CDS	960				hypothetical protein
AFKFBACJ_00930	gene	990	tdcB			
AFKFBACJ_00930	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
AFKFBACJ_00931	gene	942	ytfF			
AFKFBACJ_00931	CDS	942	ytfF			Inner membrane protein YtfF
AFKFBACJ_00932	gene	1098				
AFKFBACJ_00932	CDS	1098				hypothetical protein
AFKFBACJ_00933	gene	1917				
AFKFBACJ_00933	CDS	1917				hypothetical protein
AFKFBACJ_00934	gene	741				
AFKFBACJ_00934	CDS	741				hypothetical protein
AFKFBACJ_00935	gene	906	dhmA2			
AFKFBACJ_00935	CDS	906	dhmA2	3.8.1.5		Haloalkane dehalogenase 2
AFKFBACJ_00936	gene	519				
AFKFBACJ_00936	CDS	519				hypothetical protein
AFKFBACJ_00937	gene	282				
AFKFBACJ_00937	CDS	282				hypothetical protein
AFKFBACJ_00938	gene	1542	plcC			
AFKFBACJ_00938	CDS	1542	plcC	3.1.4.3	COG3511	Phospholipase C 3
AFKFBACJ_00939	gene	234				
AFKFBACJ_00939	CDS	234				hypothetical protein
AFKFBACJ_00940	gene	306				
AFKFBACJ_00940	CDS	306				hypothetical protein
AFKFBACJ_00941	gene	552				
AFKFBACJ_00941	CDS	552				hypothetical protein
AFKFBACJ_00942	gene	450				
AFKFBACJ_00942	CDS	450				hypothetical protein
AFKFBACJ_00943	gene	1293				
AFKFBACJ_00943	CDS	1293				hypothetical protein
AFKFBACJ_00944	gene	687				
AFKFBACJ_00944	CDS	687				hypothetical protein
AFKFBACJ_00945	gene	1245	mltC			
AFKFBACJ_00945	CDS	1245	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
AFKFBACJ_00946	gene	222				
AFKFBACJ_00946	CDS	222				hypothetical protein
AFKFBACJ_00947	gene	90				
AFKFBACJ_00947	CDS	90				hypothetical protein
AFKFBACJ_00948	gene	621				
AFKFBACJ_00948	CDS	621				hypothetical protein
AFKFBACJ_00949	gene	3135	dnaE2_1			
AFKFBACJ_00949	CDS	3135	dnaE2_1	2.7.7.7		Error-prone DNA polymerase
AFKFBACJ_00950	gene	387				
AFKFBACJ_00950	CDS	387				hypothetical protein
AFKFBACJ_00951	gene	1668	pnbA_3			
AFKFBACJ_00951	CDS	1668	pnbA_3	3.1.1.-	COG2272	Para-nitrobenzyl esterase
AFKFBACJ_00952	gene	1584				
AFKFBACJ_00952	CDS	1584		3.1.1.102		Mono(2-hydroxyethyl) terephthalate hydrolase
AFKFBACJ_00953	gene	996				
AFKFBACJ_00953	CDS	996				hypothetical protein
AFKFBACJ_00954	gene	1179	mrdA			
AFKFBACJ_00954	CDS	1179	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
AFKFBACJ_00955	gene	597				
AFKFBACJ_00955	CDS	597				hypothetical protein
AFKFBACJ_00956	gene	978				
AFKFBACJ_00956	CDS	978				hypothetical protein
AFKFBACJ_00957	gene	567				
AFKFBACJ_00957	CDS	567				hypothetical protein
AFKFBACJ_00958	gene	100				
AFKFBACJ_00958	tRNA	100				tRNA-Arg(gcg)
AFKFBACJ_00959	gene	1830				
AFKFBACJ_00959	CDS	1830				hypothetical protein
AFKFBACJ_00960	gene	408				
AFKFBACJ_00960	CDS	408				hypothetical protein
AFKFBACJ_00961	gene	438	ksi_2			
AFKFBACJ_00961	CDS	438	ksi_2	5.3.3.1		Steroid Delta-isomerase
AFKFBACJ_00962	gene	288				
AFKFBACJ_00962	CDS	288				hypothetical protein
AFKFBACJ_00963	gene	498				
AFKFBACJ_00963	CDS	498				hypothetical protein
AFKFBACJ_00964	gene	210				
AFKFBACJ_00964	CDS	210				hypothetical protein
AFKFBACJ_00965	gene	369				
AFKFBACJ_00965	CDS	369				hypothetical protein
AFKFBACJ_00966	gene	357				
AFKFBACJ_00966	CDS	357				hypothetical protein
AFKFBACJ_00967	gene	624	alkA_1			
AFKFBACJ_00967	CDS	624	alkA_1	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase
AFKFBACJ_00968	gene	405				
AFKFBACJ_00968	CDS	405		2.7.7.-		A-adding tRNA nucleotidyltransferase
AFKFBACJ_00969	gene	870				
AFKFBACJ_00969	CDS	870				hypothetical protein
AFKFBACJ_00970	gene	546	parB_2			
AFKFBACJ_00970	CDS	546	parB_2		COG1475	putative chromosome-partitioning protein ParB
AFKFBACJ_00971	gene	1389				
AFKFBACJ_00971	CDS	1389				hypothetical protein
AFKFBACJ_00972	gene	582	mneA			
AFKFBACJ_00972	CDS	582	mneA			Putative manganese exporter
AFKFBACJ_00973	gene	825				
AFKFBACJ_00973	CDS	825				hypothetical protein
AFKFBACJ_00974	gene	747				
AFKFBACJ_00974	CDS	747				hypothetical protein
AFKFBACJ_00975	gene	1074	lptF_1			
AFKFBACJ_00975	CDS	1074	lptF_1		COG0795	Lipopolysaccharide export system permease protein LptF
AFKFBACJ_00976	gene	1059	lptG_1			
AFKFBACJ_00976	CDS	1059	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
AFKFBACJ_00977	gene	522				
AFKFBACJ_00977	CDS	522				hypothetical protein
AFKFBACJ_00978	gene	159				
AFKFBACJ_00978	CDS	159				hypothetical protein
AFKFBACJ_00979	gene	468				
AFKFBACJ_00979	CDS	468		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
AFKFBACJ_00980	gene	76				
AFKFBACJ_00980	tRNA	76				tRNA-Glu(ctc)
AFKFBACJ_00981	gene	378				
AFKFBACJ_00981	CDS	378				hypothetical protein
AFKFBACJ_00982	gene	816	mscK			
AFKFBACJ_00982	CDS	816	mscK		COG3264	Mechanosensitive channel MscK
AFKFBACJ_00983	gene	408				
AFKFBACJ_00983	CDS	408				hypothetical protein
AFKFBACJ_00984	gene	210				
AFKFBACJ_00984	CDS	210				hypothetical protein
AFKFBACJ_00985	gene	312				
AFKFBACJ_00985	CDS	312				hypothetical protein
AFKFBACJ_00986	gene	624				
AFKFBACJ_00986	CDS	624				hypothetical protein
AFKFBACJ_00987	gene	336				
AFKFBACJ_00987	CDS	336				hypothetical protein
AFKFBACJ_00988	gene	627				
AFKFBACJ_00988	CDS	627				hypothetical protein
AFKFBACJ_00989	gene	99				
AFKFBACJ_00989	CDS	99				hypothetical protein
AFKFBACJ_00990	gene	282				
AFKFBACJ_00990	CDS	282				hypothetical protein
AFKFBACJ_00991	gene	321	hpf			
AFKFBACJ_00991	CDS	321	hpf		COG1544	Ribosome hibernation promoting factor
AFKFBACJ_00992	gene	1473	rpoN_2			
AFKFBACJ_00992	CDS	1473	rpoN_2		COG1508	RNA polymerase sigma-54 factor
AFKFBACJ_00993	gene	795	lptB_2			
AFKFBACJ_00993	CDS	795	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AFKFBACJ_00994	gene	753	lptA			
AFKFBACJ_00994	CDS	753	lptA			Lipopolysaccharide export system protein LptA
AFKFBACJ_00995	gene	561	lptC			
AFKFBACJ_00995	CDS	561	lptC			Lipopolysaccharide export system protein LptC
AFKFBACJ_00996	gene	189	kdsC			
AFKFBACJ_00996	CDS	189	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
AFKFBACJ_00997	gene	594				
AFKFBACJ_00997	CDS	594				hypothetical protein
AFKFBACJ_00998	gene	678				
AFKFBACJ_00998	CDS	678				hypothetical protein
AFKFBACJ_00999	gene	816	dhaA			
AFKFBACJ_00999	CDS	816	dhaA	3.8.1.5		Haloalkane dehalogenase
AFKFBACJ_01000	gene	996				
AFKFBACJ_01000	CDS	996				hypothetical protein
AFKFBACJ_01001	gene	840				
AFKFBACJ_01001	CDS	840				hypothetical protein
AFKFBACJ_01002	gene	435				
AFKFBACJ_01002	CDS	435				hypothetical protein
AFKFBACJ_01003	gene	555				
AFKFBACJ_01003	CDS	555				hypothetical protein
AFKFBACJ_01004	gene	1404				
AFKFBACJ_01004	CDS	1404				hypothetical protein
AFKFBACJ_01005	gene	1005	dusC			
AFKFBACJ_01005	CDS	1005	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
AFKFBACJ_01006	gene	444				
AFKFBACJ_01006	CDS	444				hypothetical protein
AFKFBACJ_01007	gene	630				
AFKFBACJ_01007	CDS	630				hypothetical protein
AFKFBACJ_01008	gene	609				
AFKFBACJ_01008	CDS	609				hypothetical protein
AFKFBACJ_01009	gene	1140				
AFKFBACJ_01009	CDS	1140				hypothetical protein
AFKFBACJ_01010	gene	234				
AFKFBACJ_01010	CDS	234				hypothetical protein
AFKFBACJ_01011	gene	309				
AFKFBACJ_01011	CDS	309				hypothetical protein
AFKFBACJ_01012	gene	309				
AFKFBACJ_01012	CDS	309				hypothetical protein
AFKFBACJ_01013	gene	816				
AFKFBACJ_01013	CDS	816				hypothetical protein
AFKFBACJ_01014	gene	252				
AFKFBACJ_01014	CDS	252				hypothetical protein
AFKFBACJ_01015	gene	1140				
